id,path,caption,__raw_response,__error,style,Gen_by,category_category,task
marevna-(marie-vorobieff)_not-identified-6_resize1024,Dataset/Images/marevna-(marie-vorobieff)_not-identified-6_resize1024.jpg,,,"mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""912e3d08-237b-11f1-b324-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-0VkPap1AiBKKat-260319180825017'}""} | mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""5b75da4e-237c-11f1-9e2c-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-T8risTbIYJiBxs-260319181404397'}""} | missing_caption: col=caption",Pointillism,WikiArt,,
paul-signac_the-port-at-vlissingen-boats-and-lighthouses-1896_resize1024,Dataset/Images/paul-signac_the-port-at-vlissingen-boats-and-lighthouses-1896_resize1024.jpg,"a calm harbor with sailboats and distant industrial buildings across the water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_mouth-of-the-seine-at-honfleur-evening-1886_resize1024,Dataset/Images/georges-seurat_mouth-of-the-seine-at-honfleur-evening-1886_resize1024.jpg,"a quiet beach with a wooden pier and distant rocky shoreline under a hazy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_canal-in-flanders-1894_resize1024,Dataset/Images/theo-van-rysselberghe_canal-in-flanders-1894_resize1024.jpg,"a tree-lined country road with tall slender trunks and grassy fields, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_view-from-the-artist-s-studio-1902_resize1024,Dataset/Images/henri-martin_view-from-the-artist-s-studio-1902_resize1024.jpg,"a hillside landscape with cypress trees and a house overlooking the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_meadow-at-bazincourt_resize1024,Dataset/Images/camille-pissarro_meadow-at-bazincourt_resize1024.jpg,"a rural landscape with grazing cows and bare trees under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_canal-de-la-guidecca-venice_resize1024,Dataset/Images/henri-edmond-cross_canal-de-la-guidecca-venice_resize1024.jpg,"a harbor with sailboats on calm water and a large moored ship, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_a-garden-in-provence-1901_resize1024,Dataset/Images/henri-edmond-cross_a-garden-in-provence-1901_resize1024.jpg,"a garden landscape with tall trees and a small woman figure by a path, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_study-for-in-the-woods-with-female-nude_resize1024,Dataset/Images/henri-edmond-cross_study-for-in-the-woods-with-female-nude_resize1024.jpg,"a wooded landscape with tall trees and a small figure near the undergrowth, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_landscape-with-couple_resize1024,Dataset/Images/henri-martin_landscape-with-couple_resize1024.jpg,"a couple in white clothes holding hands on a seaside cliff with pine trees, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_an-incoming-storm-1908_resize1024,Dataset/Images/henri-edmond-cross_an-incoming-storm-1908_resize1024.jpg,"a reclining nude woman on a sandy beach by the sea under cloudy sky, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
paul-signac_the-jetty-at-cassis-opus-198-1889_resize1024,Dataset/Images/paul-signac_the-jetty-at-cassis-opus-198-1889_resize1024.jpg,"a coastal harbor with stone seawalls, small buildings, and sailboats on calm blue water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_mortula-at-grimaldi_resize1024,Dataset/Images/theo-van-rysselberghe_mortula-at-grimaldi_resize1024.jpg,"a hillside village with a church tower overlooking a blue lake and distant mountains, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
marevna-(marie-vorobieff)_-1_resize1024,Dataset/Images/marevna-(marie-vorobieff)_-1_resize1024.jpg,,,"mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""92041cfc-237b-11f1-ace4-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-CUtludNZnLI2Ih-260319180826406'}""} | mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""5b917f42-237c-11f1-afdc-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-wXmKTgwvZX1w3P-260319181404557'}""} | missing_caption: col=caption",Pointillism,WikiArt,,
nicolae-darascu_balcic-houses-1933_resize1024,Dataset/Images/nicolae-darascu_balcic-houses-1933_resize1024.jpg,"a hillside village with red-roofed houses, trees, and a church on the ridge, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
salvador-dali_motherhood_resize1024,Dataset/Images/salvador-dali_motherhood_resize1024.jpg,"a mother holding a baby with two children among tall yellow flowers, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_bathers-1895_resize1024,Dataset/Images/henri-edmond-cross_bathers-1895_resize1024.jpg,"a curving coastal bay with hills and trees and two bathers in the water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_terrace-in-marquayrol_resize1024,Dataset/Images/henri-martin_terrace-in-marquayrol_resize1024.jpg,"a garden terrace with a table covered in a white cloth and two green chairs among blooming shrubs, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
yayoi-kusama_sunlight-1998_resize1024,Dataset/Images/yayoi-kusama_sunlight-1998_resize1024.jpg,"an abstract red and white cellular pattern filling the frame, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
henri-matisse_still-life-11_resize1024,Dataset/Images/henri-matisse_still-life-11_resize1024.jpg,"a colorful still life with a pitcher, fruit, and a striped tablecloth, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
henri-martin_playing-pipes-to-the-setting-sun-1898_resize1024,Dataset/Images/henri-martin_playing-pipes-to-the-setting-sun-1898_resize1024.jpg,"a rolling hillside landscape with a winding path and distant village at sunset, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
marevna-(marie-vorobieff)_marika-with-a-bouquet-of-flowers-1970_resize1024,Dataset/Images/marevna-(marie-vorobieff)_marika-with-a-bouquet-of-flowers-1970_resize1024.jpg,"a reclining woman in a blue dress on a chaise lounge beside a vase of flowers, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_beach-on-the-mediterranian_resize1024,Dataset/Images/henri-edmond-cross_beach-on-the-mediterranian_resize1024.jpg,"a sandy beach with purple flowers in the foreground and waves on the blue sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_antibes-the-pink-cloud-1916_resize1024,Dataset/Images/paul-signac_antibes-the-pink-cloud-1916_resize1024.jpg,"a sailboat on calm water under towering clouds and a blue sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_portrait-of-paul-signac-1890_resize1024,Dataset/Images/georges-seurat_portrait-of-paul-signac-1890_resize1024.jpg,"a man in a tall top hat holding a cane, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_the-undergrowth-1907_resize1024,Dataset/Images/henri-edmond-cross_the-undergrowth-1907_resize1024.jpg,"a sunlit woodland clearing with tall trees and a grazing animal, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_brickworks-at-eragny-1888_resize1024,Dataset/Images/camille-pissarro_brickworks-at-eragny-1888_resize1024.jpg,"a rural farm meadow with a wooden barn and two small figures walking, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_portrait-of-jeanne_resize1024,Dataset/Images/camille-pissarro_portrait-of-jeanne_resize1024.jpg,"a woman with long dark hair in a yellow dress sitting indoors, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_the-port-of-marseilles_resize1024,Dataset/Images/henri-edmond-cross_the-port-of-marseilles_resize1024.jpg,"a harbor scene with tall sailing ships and small boats on calm water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_grand-canal-venise-1905_resize1024,Dataset/Images/paul-signac_grand-canal-venise-1905_resize1024.jpg,"a Venetian waterfront with gondolas and a domed church across the water, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
salvador-dali_nude-in-a-landscape_resize1024,Dataset/Images/salvador-dali_nude-in-a-landscape_resize1024.jpg,,,"mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""9543df56-237b-11f1-b1ce-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-m8CDccgGayKIpQ-260319180831838'}""} | mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""5ad435e0-237c-11f1-90a2-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-HbNc0gHgY3L5fC-260319181403294'}""} | missing_caption: col=caption",Pointillism,WikiArt,,
henri-edmond-cross_toulon-winter-morning-1907_resize1024,Dataset/Images/henri-edmond-cross_toulon-winter-morning-1907_resize1024.jpg,"a harbor scene with a small steamboat on shimmering water and distant ships and docks, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
kazimir-malevich_landscape-with-yellow-house-1907_resize1024,Dataset/Images/kazimir-malevich_landscape-with-yellow-house-1907_resize1024.jpg,"an abstract field of vertical streaks in pale blue and yellow tones, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_the-regata-1892_resize1024,Dataset/Images/theo-van-rysselberghe_the-regata-1892_resize1024.jpg,"a rocky coastal cliff beside a blue sea with many white sailboats on the horizon, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_young-woman-powdering-herself-1890_resize1024,Dataset/Images/georges-seurat_young-woman-powdering-herself-1890_resize1024.jpg,"a woman in a corseted dress powdering herself at a small vanity table in a bedroom, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_the-cypresses-at-cagnes-1908_resize1024,Dataset/Images/henri-edmond-cross_the-cypresses-at-cagnes-1908_resize1024.jpg,"a hillside landscape with tall cypress trees and distant village buildings, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
jean-metzinger_paysage-aux-deux-cypr-s-1905_resize1024,Dataset/Images/jean-metzinger_paysage-aux-deux-cypr-s-1905_resize1024.jpg,"a lush countryside meadow with tall trees and distant hills under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_emile-verhaeren-in-his-study_resize1024,Dataset/Images/theo-van-rysselberghe_emile-verhaeren-in-his-study_resize1024.jpg,"a man in a brown suit sitting at a desk with papers and books in an office, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
georges-seurat_study-for-the-chahut-1890_resize1024,Dataset/Images/georges-seurat_study-for-the-chahut-1890_resize1024.jpg,"a woman in a blue dress and hat sitting outdoors with a large white umbrella, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
umberto-boccioni_riot-in-the-galleria-1909_resize1024,Dataset/Images/umberto-boccioni_riot-in-the-galleria-1909_resize1024.jpg,"a bustling nighttime cafe entrance with dancing figures under streetlights, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
kazimir-malevich_church-1905_resize1024,Dataset/Images/kazimir-malevich_church-1905_resize1024.jpg,"a winter forest with tall bare trees and snow-covered ground, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_large-tree-near-the-sea-1919_resize1024,Dataset/Images/theo-van-rysselberghe_large-tree-near-the-sea-1919_resize1024.jpg,"a coastal landscape with a large tree, grassy fields, and a cloudy sky over the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
kees-van-dongen_le-moulin-de-la-galette-1906_resize1024,Dataset/Images/kees-van-dongen_le-moulin-de-la-galette-1906_resize1024.jpg,"a close-up portrait of a woman wearing a crown of red flowers, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
edouard-vuillard_my-grandmother-1892_resize1024,Dataset/Images/edouard-vuillard_my-grandmother-1892_resize1024.jpg,"a garden view with red foliage and a stone bench near a building wall, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_the-valley-of-the-sambre-1890_resize1024,Dataset/Images/theo-van-rysselberghe_the-valley-of-the-sambre-1890_resize1024.jpg,"a winding river through green countryside with trees and haystacks under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-ribemont-dessaignes_paysage-du-midi-1905_resize1024,Dataset/Images/georges-ribemont-dessaignes_paysage-du-midi-1905_resize1024.jpg,"a coastal hillside with trees overlooking the sea under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_the-pointe-de-per-kiridec-at-roscoff_resize1024,Dataset/Images/theo-van-rysselberghe_the-pointe-de-per-kiridec-at-roscoff_resize1024.jpg,"a rocky seaside cliff overlooking blue water with scattered sea rocks and a distant sailboat, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_untitled_resize1024,Dataset/Images/henri-edmond-cross_untitled_resize1024.jpg,"a countryside landscape with trees and small houses on a hillside, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_race-in-grandcamp-1885_resize1024,Dataset/Images/georges-seurat_race-in-grandcamp-1885_resize1024.jpg,"a coastal shoreline with bushes in the foreground and sailboats on the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_lot-landscape-1890_resize1024,Dataset/Images/henri-martin_lot-landscape-1890_resize1024.jpg,"a winding river through a canyon landscape at sunset under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_view-of-meknes_resize1024,Dataset/Images/theo-van-rysselberghe_view-of-meknes_resize1024.jpg,"a sunlit cityscape with a tall minaret and white rooftops under a blue sky, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
henri-edmond-cross_landscape-the-little-maresque-mountains-1898_resize1024,Dataset/Images/henri-edmond-cross_landscape-the-little-maresque-mountains-1898_resize1024.jpg,"a mountain landscape with sunlit peaks and cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_marseille-an-old-port-1906_resize1024,Dataset/Images/paul-signac_marseille-an-old-port-1906_resize1024.jpg,"a misty harbor with docked sailboats and buildings along the waterfront, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
henri-edmond-cross_the-hair_resize1024,Dataset/Images/henri-edmond-cross_the-hair_resize1024.jpg,"a nude woman with long dark hair adjusting her hair against a warm-toned background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
salvador-dali_madrid-architecture-and-poplars_resize1024,Dataset/Images/salvador-dali_madrid-architecture-and-poplars_resize1024.jpg,"two women in yellow dresses standing among dense trees, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-edmond-cross_cypress-april_resize1024,Dataset/Images/henri-edmond-cross_cypress-april_resize1024.jpg,"a sunlit hillside landscape with tall cypress trees and small figures resting in a meadow, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_view-of-fort-samson-1885_resize1024,Dataset/Images/georges-seurat_view-of-fort-samson-1885_resize1024.jpg,"a sandy coastal landscape with grassy dunes, small huts, and sailboats on the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
maurice-prendergast_children-in-the-tree_resize1024,Dataset/Images/maurice-prendergast_children-in-the-tree_resize1024.jpg,"a garden scene with a leafy tree and a small girl in a pink dress, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
camille-pissarro_apple-picking-at-eragny-sur-epte-1888_resize1024,Dataset/Images/camille-pissarro_apple-picking-at-eragny-sur-epte-1888_resize1024.jpg,"farm workers harvesting fruit under a large tree in a sunlit orchard, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
georges-lemmen_beach-at-heist-1891_resize1024,Dataset/Images/georges-lemmen_beach-at-heist-1891_resize1024.jpg,"a tranquil seascape at sunset with a lone sailboat and calm water, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
salvador-dali_untitled-landscape-near-madrid_resize1024,Dataset/Images/salvador-dali_untitled-landscape-near-madrid_resize1024.jpg,"a sunlit garden scene with dense green foliage and pale flowers, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_female-bathers-under-the-pines-at-cavaliere-1905_resize1024,Dataset/Images/theo-van-rysselberghe_female-bathers-under-the-pines-at-cavaliere-1905_resize1024.jpg,"two women wrapped in white towels on a pine-lined beach by the sea, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
theo-van-rysselberghe_portrait-of-the-painter-s-uncle-1894_resize1024,Dataset/Images/theo-van-rysselberghe_portrait-of-the-painter-s-uncle-1894_resize1024.jpg,"a seated man in a dark suit with gray hair against a plain background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
henri-matisse_cape-layet-1904_resize1024,Dataset/Images/henri-matisse_cape-layet-1904_resize1024.jpg,"a coastal landscape with pine trees overlooking the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_the-artist-s-mother-1883_resize1024,Dataset/Images/georges-seurat_the-artist-s-mother-1883_resize1024.jpg,"a shadowy portrait of a bald man with a long beard in dark clothing, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
camille-pissarro_working-at-eragny_resize1024,Dataset/Images/camille-pissarro_working-at-eragny_resize1024.jpg,"a grassy hillside landscape with a farmer and horse under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
richard-gerstl_portrait-of-a-gentleman-1907_resize1024,Dataset/Images/richard-gerstl_portrait-of-a-gentleman-1907_resize1024.jpg,"a man in a light suit standing indoors beside a desk and lamp, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
georges-seurat_the-models-1888_resize1024,Dataset/Images/georges-seurat_the-models-1888_resize1024.jpg,,,"mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""9b20387a-237b-11f1-8ab0-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-ksDDutObWJfGpT-260319180841736'}""} | mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""5b3a69f0-237c-11f1-b4da-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-YsDAFke7K24ntg-260319181403988'}""} | missing_caption: col=caption",Pointillism,WikiArt,,
theo-van-rysselberghe_the-pointe-st-pierre-at-st-tropez-1896_resize1024,Dataset/Images/theo-van-rysselberghe_the-pointe-st-pierre-at-st-tropez-1896_resize1024.jpg,"a coastal hillside with tall pine trees overlooking the sea and distant cliffs, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_coast-near-antibes_resize1024,Dataset/Images/henri-edmond-cross_coast-near-antibes_resize1024.jpg,"a rocky shoreline with small rowboats beside a boathouse and calm sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_young-woman-study-for-the-clearing_resize1024,Dataset/Images/henri-edmond-cross_young-woman-study-for-the-clearing_resize1024.jpg,"a nude woman reclining among trees and foliage in a sunlit landscape, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
richard-gerstl_self-portrait-2-1907_resize1024,Dataset/Images/richard-gerstl_self-portrait-2-1907_resize1024.jpg,"an abstract black stippled shape on a white background, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
georges-seurat_the-bec-du-hoc-grandcamp-1885_resize1024,Dataset/Images/georges-seurat_the-bec-du-hoc-grandcamp-1885_resize1024.jpg,"a tall coastal cliff rising above the sea under a pale sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
